"";"dates";"serie2"
"1";2016-01-01;30.0668035285496
"2";2016-01-08;29.0671386281911
"3";2016-01-15;29.1716822564441
"4";2016-01-22;29.7561481469411
"5";2016-01-29;30.9399447941777
"6";2016-02-05;30.9310456245591
"7";2016-02-12;31.9249457737357
"8";2016-02-19;31.3249103918049
"9";2016-02-26;31.6043680631088
"10";2016-03-04;32.5985898923687
"11";2016-03-11;33.7271253635078
"12";2016-03-18;35.2625550311172
"13";2016-03-25;35.6441844874614
"14";2016-04-01;36.1973239401525
"15";2016-04-08;37.2353168581415
"16";2016-04-15;36.664399646663
"17";2016-04-22;35.0840542928618
"18";2016-04-29;34.7892394402583
"19";2016-05-06;35.1330456446878
"20";2016-05-13;35.586791950194
"21";2016-05-20;35.9147034888094
"22";2016-05-27;35.9635658716219
"23";2016-06-03;37.4237957232358
"24";2016-06-10;39.5441903054079
"25";2016-06-17;41.3700081665429
"26";2016-06-24;41.0704923817419
"27";2016-07-01;41.7088998482359
"28";2016-07-08;41.119430840021
"29";2016-07-15;42.665866042493
"30";2016-07-22;43.2276408248468
"31";2016-07-29;42.6096135761364
"32";2016-08-05;41.0764605519762
"33";2016-08-12;39.4739058248978
"34";2016-08-19;38.6480882954736
"35";2016-08-26;37.9838529604097
"36";2016-09-02;40.3901034750056
"37";2016-09-09;43.0376312220332
"38";2016-09-16;44.2575250440121
"39";2016-09-23;44.746711810956
"40";2016-09-30;44.2596811137437
"41";2016-10-07;46.688152789667
"42";2016-10-14;46.3997297045389
"43";2016-10-21;46.1655710973892
"44";2016-10-28;45.8528538474054
"45";2016-11-04;46.5547771312485
"46";2016-11-11;46.7385849766547
"47";2016-11-18;44.6413490699433
"48";2016-11-25;43.1650927896599
"49";2016-12-02;44.0807100543466
"50";2016-12-09;45.7704544456293
"51";2016-12-16;46.3811365047703
"52";2016-12-23;46.9929287635647
"53";2016-12-30;46.8311878222942
"54";2017-01-06;47.7853978800035
"55";2017-01-13;47.2185652940941
"56";2017-01-20;48.2288682451612
"57";2017-01-27;49.3363316573698
"58";2017-02-03;50.4068207224094
"59";2017-02-10;50.9694400476515
"60";2017-02-17;51.4932200781483
"61";2017-02-24;51.1009026373879
"62";2017-03-03;51.1204346029347
"63";2017-03-10;52.1042975582496
"64";2017-03-17;53.8858800747791
"65";2017-03-24;54.592373973795
"66";2017-03-31;54.3993789709721
"67";2017-04-07;53.1010397023536
"68";2017-04-14;51.4511331244411
"69";2017-04-21;50.8828633776384
"70";2017-04-28;53.1214064311836
"71";2017-05-05;55.5454885257875
"72";2017-05-12;56.4420366318336
"73";2017-05-19;56.0241947914254
"74";2017-05-26;55.3382540226607
"75";2017-06-02;56.4526556741577
"76";2017-06-09;56.8555839663105
"77";2017-06-16;58.5382929848556
"78";2017-06-23;59.4588026645253
"79";2017-06-30;60.8214670254405
"80";2017-07-07;59.6921608518416
"81";2017-07-14;58.9829222143052
"82";2017-07-21;57.6777698511539
"83";2017-07-28;58.4338314652782
"84";2017-08-04;59.2547644157276
"85";2017-08-11;59.7132549704448
"86";2017-08-18;61.4816248380989
"87";2017-08-25;62.1788816772668
"88";2017-09-01;63.2934181251542
"89";2017-09-08;63.848667347884
"90";2017-09-15;62.7792870960844
"91";2017-09-22;61.5392104385703
"92";2017-09-29;61.2875254497462
"93";2017-10-06;60.6586256073121
"94";2017-10-13;61.8592439090132
"95";2017-10-20;61.4897528407171
"96";2017-10-27;63.8269364288323
"97";2017-11-03;64.2307011564626
"98";2017-11-10;66.4223703073413
"99";2017-11-17;66.2305564068365
"100";2017-11-24;65.0797209233004
"101";2017-12-01;64.6039999505498
"102";2017-12-08;64.8928782128644
"103";2017-12-15;63.9564945957309
"104";2017-12-22;65.4440208414472
"105";2017-12-29;65.2782425106163
"106";2018-01-05;66.4354332664028
"107";2018-01-12;67.5590263694158
"108";2018-01-19;68.4480685112464
"109";2018-01-26;68.6796718420541
"110";2018-02-02;68.9433332886775
"111";2018-02-09;68.0380089853868
"112";2018-02-16;67.3553147885801
"113";2018-02-23;66.6285666140584
"114";2018-03-02;69.0591266683727
"115";2018-03-09;72.0245837720407
"116";2018-03-16;73.3816754503841
"117";2018-03-23;71.9193921820737
"118";2018-03-30;71.0235369049944
"119";2018-04-06;72.3973806446039
"120";2018-04-13;72.7212602516731
"121";2018-04-20;73.4309700608864
"122";2018-04-27;72.0885009220746
"123";2018-05-04;72.3166732562962
"124";2018-05-11;71.238013767614
