"index" "serie"
1 2
2 3.20580968767237
3 5.42517021504516
4 9.00740618166467
5 14.8769559003981
6 16.6275987617459
7 10.3640492971179
8 21.4341567607755
9 22.9814762473802
10 14.7118331800893
11 32.0021740578327
12 29.5722885292656
13 21.1571149070991
14 27.0579412939835
15 21.0902175753233
16 27.0398710107522
17 37.7627286103797
18 31.0823307992691
19 25.6190001213661
20 26.2751195907119
21 27.1513535710437
22 39.3932476351138
23 29.5847317416319
24 37.4794832126698
25 36.234614891698
26 38.934175515385
27 42.3884276361558
28 54.2877582591092
29 56.0811647414297
30 63.2308141865387
31 65.7369177132252
32 62.1881936091969
33 65.4286606848601
34 71.3779491923286
35 64.4362847780553
36 64.2048215407694
37 68.7838230985957
38 65.0088239047277
39 62.7316291432426
40 66.798874554925
41 63.0341544093655
42 68.3653138928171
43 69.4807489865087
44 69.4105692153609
45 68.4274577581259
46 67.1405317030387
47 69.2962682435802
48 66.2769714084121
49 63.8079160506922
50 59.0163375481501
